seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
3,500,0.1,kl,,1.8616455666360694,0.002762254560366273,5.53617000579834,5.533407751237974,0,0.6804861691136569
3,500,0.1,chi2,,1.8616455666360694,0.0027800241950899363,3.502058982849121,3.499278958654031,0,0.4215566986431344
3,500,0.1,tsallis-5,5,1.8616455666360694,-5.747648174292408e-05,-0.011571654118597507,0.011514177636854583,1,0.035523773395803517
3,500,0.1,tsallis-10,10,1.8616455666360694,-1.1517877283040434e-05,0.00316974357701838,0.0031812614543014206,1,0.03385034210026574
3,500,0.2,kl,,3.465724215775732,0.005218712147325277,5.728281021118164,5.723062308970839,0,0.6979787254873246
3,500,0.2,chi2,,3.465724215775732,0.00527502316981554,4.008514404296875,4.0032393811270595,0,0.48206011191703546
3,500,0.2,tsallis-5,5,3.465724215775732,-4.476790763874305e-06,0.003371019149199128,0.0033754959399630025,1,0.033629292051087625
3,500,0.2,tsallis-10,10,3.465724215775732,5.7928464229917154e-05,-0.011514751240611076,0.011572679704840994,1,0.03510478323503472
3,500,0.30000000000000004,kl,,6.451950121482161,0.009420043788850307,5.8150248527526855,5.805604808963835,0,0.7083801484835843
3,500,0.30000000000000004,chi2,,6.451950121482161,0.009290894493460655,4.4578728675842285,4.448581973090768,0,0.5372456145166592
3,500,0.30000000000000004,tsallis-5,5,6.451950121482161,-1.8480925064068288e-05,-0.011056988500058651,0.011038507574994583,1,0.03605381049415198
3,500,0.30000000000000004,tsallis-10,10,6.451950121482161,2.7242811484029517e-05,0.008747553452849388,0.008720310641365359,1,0.033728307144887636
3,500,0.4,kl,,12.011244339814313,0.01770971715450287,nan,nan,0,nan
3,500,0.4,chi2,,12.011244339814313,0.01608271151781082,4.8369598388671875,4.820877127349377,0,0.5856551088365469
3,500,0.4,tsallis-5,5,12.011244339814313,7.161254416132579e-06,0.012705064378678799,0.012697903124262666,1,0.03966902756630684
3,500,0.4,tsallis-10,10,12.011244339814313,-1.697364314168226e-05,-0.005065883509814739,0.005048909866673057,1,0.036736938189831175
3,500,0.5,kl,,22.360679774997898,0.03131069988012314,nan,nan,0,nan
3,500,0.5,chi2,,22.360679774997898,0.02371564321219921,5.106934547424316,5.083218904212117,0,0.6189538328736675
3,500,0.5,tsallis-5,5,22.360679774997898,2.3886022972874343e-05,-0.0023719454184174538,0.002395831441390328,1,0.039732685604325614
3,500,0.5,tsallis-10,10,22.360679774997898,-4.364318374427967e-05,-0.004596472252160311,0.004552829068416031,1,0.040189884683980326
3,500,0.6,kl,,41.62766037009365,0.047162726521492004,nan,nan,0,nan
3,500,0.6,chi2,,41.62766037009365,0.031550779938697815,5.4820942878723145,5.450543507933617,0,0.6652602813511109
3,500,0.6,tsallis-5,5,41.62766037009365,5.079303082311526e-05,0.0036420952528715134,0.003591302222048398,1,0.05208922712146302
3,500,0.6,tsallis-10,10,41.62766037009365,4.163343328400515e-05,-0.0017043296247720718,0.001745963058056077,1,0.048580679911766816
3,500,0.7000000000000001,kl,,77.49594937741689,0.0607156828045845,nan,nan,0,nan
3,500,0.7000000000000001,chi2,,77.49594937741689,0.03883007541298866,5.561514854431152,5.522684779018164,0,0.6758795960230731
3,500,0.7000000000000001,tsallis-5,5,77.49594937741689,1.907867226691451e-05,0.0011114407097920775,0.001092362037525163,1,0.07801004407110046
3,500,0.7000000000000001,tsallis-10,10,77.49594937741689,3.2756583095761016e-05,-0.03965853899717331,0.03969129558026907,1,0.08031070734658023
3,500,0.8,kl,,144.2699905907214,0.06389015167951584,nan,nan,0,nan
3,500,0.8,chi2,,144.2699905907214,0.04569551348686218,5.720016002655029,5.674320489168167,0,0.6990167151552288
3,500,0.8,tsallis-5,5,144.2699905907214,-2.6166379029746167e-05,0.02732229046523571,0.027348456844265456,1,0.13326028363193795
3,500,0.8,tsallis-10,10,144.2699905907214,-8.550267011742108e-06,0.02232663705945015,0.02233518732646189,1,0.11744369161138583
3,500,0.9,kl,,268.5795883818439,nan,nan,nan,0,nan
3,500,0.9,chi2,,268.5795883818439,0.05033504590392113,5.807200908660889,5.7568658627569675,0,0.7072336768404248
3,500,0.9,tsallis-5,5,268.5795883818439,5.296548624755815e-05,-0.0023660107981413603,0.0024189762843889184,1,0.23126873521947283
3,500,0.9,tsallis-10,10,268.5795883818439,-1.6011605111998506e-05,-0.021315451711416245,0.021299440106304246,1,0.24224922776232008
3,500,1.0,kl,,500.0,nan,nan,nan,0,nan
3,500,1.0,chi2,,500.0,0.05746031925082207,5.777379035949707,5.719918716698885,0,0.7045802324989825
3,500,1.0,tsallis-5,5,500.0,-1.3088413652440067e-05,-0.12490610778331757,0.12489301936966513,1,0.4563779299121383
3,500,1.0,tsallis-10,10,500.0,0.00010792381362989545,-0.02972133457660675,0.029829258390236646,1,0.42577658409140684
