seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
7,2000,0.1,kl,,2.138469199982376,0.0032365149818360806,7.643711090087891,7.6404745751060545,0,0.46664003690398015
7,2000,0.1,chi2,,2.138469199982376,0.003194049932062626,5.1354546546936035,5.132260604761541,0,0.30908406657110277
7,2000,0.1,tsallis-5,5,2.138469199982376,1.923889431054704e-05,-0.012590954080224037,0.012610192974534584,0,0.024439940198057997
7,2000,0.1,tsallis-10,10,2.138469199982376,4.721313473510236e-07,-0.0059581599198281765,0.0059586320511755275,1,0.02369888549037182
7,2000,0.2,kl,,4.573050519273264,0.006848374847322702,7.750298023223877,7.743449648376554,0,0.4711262255143855
7,2000,0.2,chi2,,4.573050519273264,0.006961632985621691,5.871167182922363,5.864205549936742,0,0.36189327035693636
7,2000,0.2,tsallis-5,5,4.573050519273264,-5.755201345891692e-05,-0.0037896931171417236,0.0037321411036828067,1,0.026963906458557736
7,2000,0.2,tsallis-10,10,4.573050519273264,-2.6653702661860734e-05,-0.00026638805866241455,0.00023973435600055382,1,0.02489840653282612
7,2000,0.30000000000000004,kl,,9.779327685429289,0.014356907457113266,nan,nan,0,nan
7,2000,0.30000000000000004,chi2,,9.779327685429289,0.013655210845172405,6.496793270111084,6.483138059265912,0,0.3938107751491001
7,2000,0.30000000000000004,tsallis-5,5,9.779327685429289,6.985288564465009e-06,-0.0039606462232768536,0.003967631511841319,1,0.027301311546390095
7,2000,0.30000000000000004,tsallis-10,10,9.779327685429289,-5.683706694981083e-05,0.00556159159168601,0.005618428658635821,1,0.027489944901183914
7,2000,0.4,kl,,20.91279105182547,0.030272990465164185,nan,nan,0,nan
7,2000,0.4,chi2,,20.91279105182547,0.02252473682165146,7.018124580383301,6.995599843561649,0,0.42633314416884655
7,2000,0.4,tsallis-5,5,20.91279105182547,-5.886157396162162e-06,0.01100113708525896,0.011007023242655123,1,0.03512354070747648
7,2000,0.4,tsallis-10,10,20.91279105182547,-5.494565994013101e-05,-0.010313095524907112,0.010258149864966981,1,0.035412553596792656
7,2000,0.5,kl,,44.721359549995796,0.049102380871772766,nan,nan,0,nan
7,2000,0.5,chi2,,44.721359549995796,0.03188427537679672,7.416559219360352,7.384674943983555,0,0.45312644206397684
7,2000,0.5,tsallis-5,5,44.721359549995796,2.537876571295783e-05,-0.007371770218014717,0.007397148983727675,1,0.06242487869312017
7,2000,0.5,tsallis-10,10,44.721359549995796,-2.3213774511532392e-06,-0.01896516978740692,0.018962848409955768,1,0.0588563850820141
7,2000,0.6,kl,,95.63524997900369,0.06221524626016617,nan,nan,0,nan
7,2000,0.6,chi2,,95.63524997900369,0.040830936282873154,7.614031791687012,7.573200855404139,0,0.4807782407181577
7,2000,0.6,tsallis-5,5,95.63524997900369,-3.6308592825662345e-05,-0.012335432693362236,0.012299124100536574,1,0.12607123442439988
7,2000,0.6,tsallis-10,10,95.63524997900369,-2.16037597056129e-06,-0.009814715944230556,0.009812555568259995,1,0.11470676897457724
7,2000,0.7000000000000001,kl,,204.51303651271468,0.0661393329501152,nan,nan,0,nan
7,2000,0.7000000000000001,chi2,,204.51303651271468,0.04790394380688667,7.736893177032471,7.688989233225584,0,0.47100818151669516
7,2000,0.7000000000000001,tsallis-5,5,204.51303651271468,1.8670576537260786e-05,-0.04392243176698685,0.04394110234352411,1,0.24791659844132025
7,2000,0.7000000000000001,tsallis-10,10,204.51303651271468,4.9623868108028546e-05,-0.06828562915325165,0.06833525302135968,1,0.2580605192071936
7,2000,0.8,kl,,437.3448295773114,nan,nan,nan,0,nan
7,2000,0.8,chi2,,437.3448295773114,0.05558722838759422,7.763867378234863,7.708280149847269,0,0.4718737159349768
7,2000,0.8,tsallis-5,5,437.3448295773114,4.56022062280681e-05,-0.2764127254486084,0.27645832765483647,0,0.5355849778112071
7,2000,0.8,tsallis-10,10,437.3448295773114,4.777430513058789e-05,0.001732547883875668,0.0016847735787450802,1,0.5585968203805477
7,2000,0.9,kl,,935.2484478226215,nan,nan,nan,0,nan
7,2000,0.9,chi2,,935.2484478226215,0.06123766303062439,7.770270824432373,7.709033161401749,0,0.4722615089577146
7,2000,0.9,tsallis-5,5,935.2484478226215,-6.825830496381968e-06,0.14040467143058777,0.14041149726108415,1,1.2463853442328177
7,2000,0.9,tsallis-10,10,935.2484478226215,3.0047762265894562e-05,0.16263775527477264,0.16260770751250675,1,1.237055356750078
7,2000,1.0,kl,,2000.0,nan,nan,nan,0,nan
7,2000,1.0,chi2,,2000.0,0.06501388549804688,7.701619625091553,7.636605739593506,0,0.4682884149096304
7,2000,1.0,tsallis-5,5,2000.0,1.81854484253563e-05,-1.1821346282958984,1.1821528137443238,1,2.584413792559518
7,2000,1.0,tsallis-10,10,2000.0,3.862325684167445e-06,-0.4015727639198303,0.4015766262455145,1,2.294908032777403
