seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
10,1000,0.1,kl,,1.9952623149688797,0.002938742283731699,6.533087730407715,6.530148988123983,0,0.5402628892962955
10,1000,0.1,chi2,,1.9952623149688797,0.003036238020285964,4.237340927124023,4.2343046891037375,0,0.34465597113192403
10,1000,0.1,tsallis-5,5,1.9952623149688797,-2.3020209482638165e-05,0.007289926055818796,0.007312946265301434,1,0.027752692402570563
10,1000,0.1,tsallis-10,10,1.9952623149688797,4.619664468918927e-05,0.006769177503883839,0.006722980859194649,1,0.02688801821675261
10,1000,0.2,kl,,3.9810717055349727,0.005945785436779261,6.704456806182861,6.698511020746082,0,0.5496577791962532
10,1000,0.2,chi2,,3.9810717055349727,0.005918331444263458,4.880747318267822,4.874828986823559,0,0.39773360268045227
10,1000,0.2,tsallis-5,5,3.9810717055349727,-1.0966942681989167e-05,-0.004154329188168049,0.00414336224548606,1,0.028394566413415746
10,1000,0.2,tsallis-10,10,3.9810717055349727,-8.105065353447571e-05,-0.004378636833280325,0.004297586179745849,1,0.028427018050168566
10,1000,0.30000000000000004,kl,,7.943282347242818,0.011780566535890102,nan,nan,0,nan
10,1000,0.30000000000000004,chi2,,7.943282347242818,0.011308826506137848,5.350756645202637,5.339447818696499,0,0.4358726054688941
10,1000,0.30000000000000004,tsallis-5,5,7.943282347242818,-3.936545908800326e-05,-0.00035321334144100547,0.0003138478823530022,1,0.02666469015058388
10,1000,0.30000000000000004,tsallis-10,10,7.943282347242818,-1.656075255596079e-05,-0.003528744913637638,0.0035121841610816773,1,0.028173686855233047
10,1000,0.4,kl,,15.848931924611136,0.023335086181759834,nan,nan,0,nan
10,1000,0.4,chi2,,15.848931924611136,0.01945004239678383,5.828968048095703,5.809518005698919,0,0.47711672803840394
10,1000,0.4,tsallis-5,5,15.848931924611136,2.658547373357578e-06,0.0010561414528638124,0.0010534829054904549,1,0.030351028091262316
10,1000,0.4,tsallis-10,10,15.848931924611136,-0.00011343891674187034,0.004241199232637882,0.004354638149379753,1,0.031475814297651235
10,1000,0.5,kl,,31.622776601683793,0.0405205562710762,nan,nan,0,nan
10,1000,0.5,chi2,,31.622776601683793,0.028146471828222275,6.22462272644043,6.196476254612207,0,0.5111332798884948
10,1000,0.5,tsallis-5,5,31.622776601683793,-6.460817530751228e-05,0.0008293421706184745,0.0008939503459259868,1,0.0378538343807928
10,1000,0.5,tsallis-10,10,31.622776601683793,-7.77662280597724e-05,0.0008290744153782725,0.0009068406434380449,1,0.038470462990868474
10,1000,0.6,kl,,63.095734448019314,0.055496226996183395,nan,nan,0,nan
10,1000,0.6,chi2,,63.095734448019314,0.036296289414167404,6.467890739440918,6.431594450026751,0,0.532456244293747
10,1000,0.6,tsallis-5,5,63.095734448019314,-4.076703407918103e-05,-0.013799294829368591,0.01375852779528941,1,0.060755973968020086
10,1000,0.6,tsallis-10,10,63.095734448019314,-5.420266097644344e-05,0.00404449412599206,0.004098696786968503,1,0.06107045985947431
10,1000,0.7000000000000001,kl,,125.89254117941678,0.06392508745193481,nan,nan,0,nan
10,1000,0.7000000000000001,chi2,,125.89254117941678,0.04385250061750412,6.599959373474121,6.556106872856617,0,0.5449960543596423
10,1000,0.7000000000000001,tsallis-5,5,125.89254117941678,4.264833842171356e-05,0.020234758034348488,0.020192109695926774,1,0.11984991413124518
10,1000,0.7000000000000001,tsallis-10,10,125.89254117941678,2.0906932149955537e-06,-0.022192658856511116,0.02219474954972611,1,0.1115944154094085
10,1000,0.8,kl,,251.1886431509581,0.06796745955944061,nan,nan,0,nan
10,1000,0.8,chi2,,251.1886431509581,0.05065511167049408,6.664517879486084,6.61386276781559,0,0.5474183948753015
10,1000,0.8,tsallis-5,5,251.1886431509581,-9.754366328706965e-05,0.01639866642653942,0.01649621008982649,1,0.22403056203252575
10,1000,0.8,tsallis-10,10,251.1886431509581,-4.260027708369307e-05,-0.06643829494714737,0.06639569467006368,1,0.2658011530854736
10,1000,0.9,kl,,501.18723362727235,nan,nan,nan,0,nan
10,1000,0.9,chi2,,501.18723362727235,0.05761832743883133,6.71288537979126,6.655267052352428,0,0.5502999924823497
10,1000,0.9,tsallis-5,5,501.18723362727235,1.364786112389993e-05,0.1122710183262825,0.1122573704651586,1,0.4427632113328912
10,1000,0.9,tsallis-10,10,501.18723362727235,-3.733672929229215e-05,0.018106281757354736,0.01814361848664703,1,0.56736488104195
10,1000,1.0,kl,,1000.0,nan,nan,nan,0,nan
10,1000,1.0,chi2,,1000.0,0.06106361374258995,6.733907699584961,6.672844085842371,0,0.5518473423712635
10,1000,1.0,tsallis-5,5,1000.0,-1.653210802032845e-06,0.004244506824761629,0.004246160035563662,1,0.8180262619018615
10,1000,1.0,tsallis-10,10,1000.0,-2.6999621240975102e-06,0.13380303978919983,0.13380573975132393,1,0.8933462303498423
