seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
5,500,0.1,kl,,1.8616455666360694,0.002745248842984438,5.112466335296631,5.109721086453646,0,0.6470801655037642
5,500,0.1,chi2,,1.8616455666360694,0.002803461393341422,3.202169179916382,3.1993657185230404,0,0.3970354566215683
5,500,0.1,tsallis-5,5,1.8616455666360694,2.324180240975693e-05,-0.0034428974613547325,0.0034661392637644894,1,0.03170793621543074
5,500,0.1,tsallis-10,10,1.8616455666360694,-1.2723033250949811e-05,0.004652383271604776,0.004665106304855726,1,0.03219884314946784
5,500,0.2,kl,,3.465724215775732,0.005252968519926071,5.295615196228027,5.290362227708101,0,0.6650080537649642
5,500,0.2,chi2,,3.465724215775732,0.005097598768770695,3.6659767627716064,3.6608791640028358,0,0.45724580715586777
5,500,0.2,tsallis-5,5,3.465724215775732,-3.1356728868559e-05,0.002544631715863943,0.002575988444732502,1,0.030087101343902998
5,500,0.2,tsallis-10,10,3.465724215775732,4.206887388136238e-05,0.0010544632095843554,0.001012394335702993,1,0.031760434203843155
5,500,0.30000000000000004,kl,,6.451950121482161,0.009821634739637375,5.368757724761963,5.3589360900223255,0,0.6725748282784519
5,500,0.30000000000000004,chi2,,6.451950121482161,0.00943839456886053,4.062222480773926,4.052784086205065,0,0.5060851904763972
5,500,0.30000000000000004,tsallis-5,5,6.451950121482161,4.70089289592579e-05,0.012426142580807209,0.012379133651847951,1,0.0318420078006898
5,500,0.30000000000000004,tsallis-10,10,6.451950121482161,2.7531921659829095e-05,-0.006963779684156179,0.0069913116058160085,1,0.032953731648851285
5,500,0.4,kl,,12.011244339814313,0.017983227968215942,nan,nan,0,nan
5,500,0.4,chi2,,12.011244339814313,0.015817813575267792,4.438154697418213,4.422336883842945,0,0.5533965622982981
5,500,0.4,tsallis-5,5,12.011244339814313,-6.73292879582732e-06,0.012074694968760014,0.012081427897555841,1,0.033696965327014015
5,500,0.4,tsallis-10,10,12.011244339814313,3.3742820960469544e-05,0.009632979519665241,0.009599236698704772,1,0.03449908667267665
5,500,0.5,kl,,22.360679774997898,0.03224693238735199,nan,nan,0,nan
5,500,0.5,chi2,,22.360679774997898,0.023888668045401573,4.770691394805908,4.746802726760507,0,0.5971599172315962
5,500,0.5,tsallis-5,5,22.360679774997898,-2.6694993721321225e-05,-0.001121249981224537,0.0010945549875032157,1,0.03765933321348351
5,500,0.5,tsallis-10,10,22.360679774997898,-8.807547601463739e-06,-0.006561372894793749,0.006552565347192285,1,0.03381654212821249
5,500,0.6,kl,,41.62766037009365,0.04693134129047394,nan,nan,0,nan
5,500,0.6,chi2,,41.62766037009365,0.031151464208960533,4.917675018310547,4.886523554101586,0,0.6180473372320039
5,500,0.6,tsallis-5,5,41.62766037009365,3.498575460980646e-05,0.009434384293854237,0.00939939853924443,1,0.0442766709355414
5,500,0.6,tsallis-10,10,41.62766037009365,-3.9509599446319044e-05,-0.012978149577975273,0.012938639978528954,1,0.04104471922616354
5,500,0.7000000000000001,kl,,77.49594937741689,0.058380480855703354,nan,nan,0,nan
5,500,0.7000000000000001,chi2,,77.49594937741689,0.038739580661058426,5.271214008331299,5.23247442767024,0,0.6630185410336535
5,500,0.7000000000000001,tsallis-5,5,77.49594937741689,-4.167020051681902e-06,-0.0006725714774802327,0.0006684044574285508,1,0.06342535709315161
5,500,0.7000000000000001,tsallis-10,10,77.49594937741689,-5.44888371223351e-06,0.00781454611569643,0.007819994999408664,1,0.06116701665417832
5,500,0.8,kl,,144.2699905907214,0.06449834257364273,nan,nan,0,nan
5,500,0.8,chi2,,144.2699905907214,0.045319996774196625,5.254724025726318,5.209404028952122,0,0.6586106108736565
5,500,0.8,tsallis-5,5,144.2699905907214,1.3354673683352303e-05,-0.0005093255313113332,0.0005226802049946855,1,0.09767899027812557
5,500,0.8,tsallis-10,10,144.2699905907214,-3.5852364817401394e-05,-0.01841134764254093,0.01837549527772353,1,0.10413956555983049
5,500,0.9,kl,,268.5795883818439,nan,nan,nan,0,nan
5,500,0.9,chi2,,268.5795883818439,0.05079406872391701,5.358739376068115,5.307945307344198,0,0.672850987118767
5,500,0.9,tsallis-5,5,268.5795883818439,2.5636434202169767e-06,0.0027682201471179724,0.0027656565036977554,1,0.18338636708149178
5,500,0.9,tsallis-10,10,268.5795883818439,3.1544304874842055e-06,0.06505552679300308,0.0650523723625156,1,0.18243287051979898
5,500,1.0,kl,,500.0,nan,nan,nan,0,nan
5,500,1.0,chi2,,500.0,0.05627055466175079,5.414677619934082,5.358407065272331,0,0.6773718939330371
5,500,1.0,tsallis-5,5,500.0,8.638927283755038e-06,-0.01977255567908287,0.019781194606366626,1,0.306597289170078
5,500,1.0,tsallis-10,10,500.0,-2.3770284315105528e-05,0.01342182606458664,0.013445596348901745,1,0.3390352490939162
