seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
2,2000,0.1,kl,,2.138469199982376,0.003189192386344075,8.277307510375977,8.274118317989632,0,0.5055163065558297
2,2000,0.1,chi2,,2.138469199982376,0.0032064819242805243,5.653284549713135,5.650078067788854,0,0.34031805178875096
2,2000,0.1,tsallis-5,5,2.138469199982376,-4.085077307536267e-05,0.10687662661075592,0.10691747738383128,1,0.3830074550450907
2,2000,0.1,tsallis-10,10,2.138469199982376,4.188318598608021e-06,0.006368775852024555,0.006364587533425947,1,0.03275705614442704
2,2000,0.2,kl,,4.573050519273264,0.0067655774764716625,nan,nan,0,nan
2,2000,0.2,chi2,,4.573050519273264,0.006819618865847588,6.417882442474365,6.411062823608518,0,0.38631284024838136
2,2000,0.2,tsallis-5,5,4.573050519273264,-1.7601713580006617e-06,0.013626479543745518,0.013628239715103518,1,0.04370313224860613
2,2000,0.2,tsallis-10,10,4.573050519273264,-4.7893609007587656e-05,0.0020003817044198513,0.002048275313427439,1,0.031466996122274826
2,2000,0.30000000000000004,kl,,9.779327685429289,0.014551717787981033,nan,nan,0,nan
2,2000,0.30000000000000004,chi2,,9.779327685429289,0.01372306328266859,7.113426208496094,7.099703145213425,0,0.43118483201138863
2,2000,0.30000000000000004,tsallis-5,5,9.779327685429289,-1.0831676263478585e-05,0.012122116982936859,0.012132948659200338,1,0.03720839469466039
2,2000,0.30000000000000004,tsallis-10,10,9.779327685429289,2.4683236006239895e-06,0.011237168684601784,0.01123470036100116,1,0.037402081900932506
2,2000,0.4,kl,,20.91279105182547,0.030087243765592575,nan,nan,0,nan
2,2000,0.4,chi2,,20.91279105182547,0.02274591289460659,7.671589374542236,7.64884346164763,0,0.46652765850080125
2,2000,0.4,tsallis-5,5,20.91279105182547,-5.7267574447905645e-05,0.023382123559713364,0.02343939113416127,1,0.05485483021762808
2,2000,0.4,tsallis-10,10,20.91279105182547,2.669945934030693e-05,0.019915707409381866,0.01988900795004156,1,0.0900500449024281
2,2000,0.5,kl,,44.721359549995796,0.05044883117079735,nan,nan,0,nan
2,2000,0.5,chi2,,44.721359549995796,0.03199218213558197,8.079483985900879,8.047491803765297,0,0.49138226148101166
2,2000,0.5,tsallis-5,5,44.721359549995796,-4.950802576786373e-06,-0.009399116039276123,0.009394165236699337,1,0.05254041202941942
2,2000,0.5,tsallis-10,10,44.721359549995796,1.8565122445579618e-05,-0.026240944862365723,0.026259509984811302,1,0.05638988602498363
2,2000,0.6,kl,,95.63524997900369,0.06237008050084114,nan,nan,0,nan
2,2000,0.6,chi2,,95.63524997900369,0.04046693444252014,8.310502052307129,8.270035117864609,0,0.509848336261647
2,2000,0.6,tsallis-5,5,95.63524997900369,8.150940630002879e-06,0.03815922141075134,0.03815107047012134,1,0.11114558555186904
2,2000,0.6,tsallis-10,10,95.63524997900369,-1.4567976904800162e-05,0.0012653485173359513,0.0012799164942407515,1,0.12629806194132304
2,2000,0.7000000000000001,kl,,204.51303651271468,0.06641542911529541,nan,nan,0,nan
2,2000,0.7000000000000001,chi2,,204.51303651271468,0.048934221267700195,8.358403205871582,8.309468984603882,0,0.5062142049459522
2,2000,0.7000000000000001,tsallis-5,5,204.51303651271468,4.0450875530950725e-05,-0.05752846971154213,0.05756892058707308,1,0.21577231741148029
2,2000,0.7000000000000001,tsallis-10,10,204.51303651271468,-7.999272384040523e-06,0.004140164703130722,0.004148163975514763,1,0.26286615515180345
2,2000,0.8,kl,,437.3448295773114,nan,nan,nan,0,nan
2,2000,0.8,chi2,,437.3448295773114,0.05672963708639145,8.41096305847168,8.354233421385288,0,0.5131713149488464
2,2000,0.8,tsallis-5,5,437.3448295773114,-6.753608658982557e-07,0.0648646131157875,0.0648652884766534,1,0.4249476192229484
2,2000,0.8,tsallis-10,10,437.3448295773114,-2.8984366508666426e-05,0.024669617414474487,0.024698601780983154,1,0.5026756401927231
2,2000,0.9,kl,,935.2484478226215,nan,nan,nan,0,nan
2,2000,0.9,chi2,,935.2484478226215,0.061179015785455704,8.41958236694336,8.358403351157904,0,0.5106700671116798
2,2000,0.9,tsallis-5,5,935.2484478226215,1.4513045698549831e-06,-0.011061416938900948,0.011062868243470803,1,1.0008499972972191
2,2000,0.9,tsallis-10,10,935.2484478226215,1.4868873222440016e-05,0.03822305426001549,0.03820818538679305,1,1.0182887335251325
2,2000,1.0,kl,,2000.0,nan,nan,nan,0,nan
2,2000,1.0,chi2,,2000.0,0.06504178047180176,8.435354232788086,8.370312452316284,0,0.5120603085881072
2,2000,1.0,tsallis-5,5,2000.0,-2.1325235138647258e-05,-0.03230615332722664,0.03228482809208799,1,2.1983812337327038
2,2000,1.0,tsallis-10,10,2000.0,2.6922991310129873e-05,-0.07440873235464096,0.07443565534595109,1,2.164922709675148
