seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
9,1000,0.1,kl,,1.9952623149688797,0.002953129354864359,6.129042148590088,6.1260890192352235,0,0.543037227774958
9,1000,0.1,chi2,,1.9952623149688797,0.002885168418288231,3.936453342437744,3.933568174019456,0,0.34484871051243593
9,1000,0.1,tsallis-5,5,1.9952623149688797,1.973523239939823e-06,0.0019247691379860044,0.0019227956147460645,1,0.026771301731558894
9,1000,0.1,tsallis-10,10,1.9952623149688797,5.098359542898834e-05,0.0008273904677480459,0.0007764068723190576,1,0.025352078898244507
9,1000,0.2,kl,,3.9810717055349727,0.005985688418149948,6.285348892211914,6.279363203793764,0,0.5541669698464082
9,1000,0.2,chi2,,3.9810717055349727,0.00579072255641222,4.509144306182861,4.503353583626449,0,0.39469505910900204
9,1000,0.2,tsallis-5,5,3.9810717055349727,9.523397238808684e-06,0.0033468324691057205,0.003337309071866912,1,0.03204362473914446
9,1000,0.2,tsallis-10,10,3.9810717055349727,5.216486442805035e-06,-0.00663566030561924,0.006640876792062045,1,0.02679804669679581
9,1000,0.30000000000000004,kl,,7.943282347242818,0.011616812087595463,nan,nan,0,nan
9,1000,0.30000000000000004,chi2,,7.943282347242818,0.011427368968725204,5.008578300476074,4.997150931507349,0,0.440107562577813
9,1000,0.30000000000000004,tsallis-5,5,7.943282347242818,5.155198959982954e-05,-0.008601251058280468,0.008652803047880298,1,0.027977362452204606
9,1000,0.30000000000000004,tsallis-10,10,7.943282347242818,2.1054316675872542e-05,-0.006288012955337763,0.006309067272013635,1,0.02630212942838249
9,1000,0.4,kl,,15.848931924611136,0.023360460996627808,nan,nan,0,nan
9,1000,0.4,chi2,,15.848931924611136,0.019796771928668022,5.456640720367432,5.436843948438764,0,0.48218894434200205
9,1000,0.4,tsallis-5,5,15.848931924611136,-2.8919790565851144e-05,-0.007589216344058514,0.0075602965534926625,1,0.03182236480500765
9,1000,0.4,tsallis-10,10,15.848931924611136,9.030569344758987e-05,0.004015222657471895,0.003924916964024305,1,0.03106393376117411
9,1000,0.5,kl,,31.622776601683793,0.041190993040800095,nan,nan,0,nan
9,1000,0.5,chi2,,31.622776601683793,0.02778296358883381,5.791973114013672,5.764190150424838,0,0.5128634086100444
9,1000,0.5,tsallis-5,5,31.622776601683793,-1.2342044101387728e-05,0.009990161284804344,0.010002503328905732,1,0.0359051130959754
9,1000,0.5,tsallis-10,10,31.622776601683793,-5.9085919019707944e-06,-0.018755655735731125,0.018749747143829154,0,0.035369905729095395
9,1000,0.6,kl,,63.095734448019314,0.056059643626213074,nan,nan,0,nan
9,1000,0.6,chi2,,63.095734448019314,0.0360274463891983,6.142347812652588,6.10632036626339,0,0.5445343853254428
9,1000,0.6,tsallis-5,5,63.095734448019314,6.155150913400576e-05,-0.017622841522097588,0.017684393031231593,1,0.05675091216240721
9,1000,0.6,tsallis-10,10,63.095734448019314,4.231693674228154e-05,-0.00192753947339952,0.0019698564101418015,1,0.05473519754665636
9,1000,0.7000000000000001,kl,,125.89254117941678,0.0646125003695488,nan,nan,0,nan
9,1000,0.7000000000000001,chi2,,125.89254117941678,0.04426010698080063,6.22615385055542,6.181893743574619,0,0.5507623895928616
9,1000,0.7000000000000001,tsallis-5,5,125.89254117941678,-2.5863553673843853e-05,-0.01805831305682659,0.018032449503152748,1,0.09919860890128362
9,1000,0.7000000000000001,tsallis-10,10,125.89254117941678,-4.911981159239076e-05,-0.03792469576001167,0.03787557594841928,1,0.09722969334663167
9,1000,0.8,kl,,251.1886431509581,0.06633657217025757,nan,nan,0,nan
9,1000,0.8,chi2,,251.1886431509581,0.05092310905456543,6.24875020980835,6.197827100753784,0,0.5525153116139598
9,1000,0.8,tsallis-5,5,251.1886431509581,2.7091964511782862e-06,-0.018513351678848267,0.018516060875299445,1,0.2158254726511228
9,1000,0.8,tsallis-10,10,251.1886431509581,-3.2676905448170146e-07,-0.05219853296875954,0.052198206199705055,1,0.19210099967605085
9,1000,0.9,kl,,501.18723362727235,nan,nan,nan,0,nan
9,1000,0.9,chi2,,501.18723362727235,0.05724477395415306,6.2275004386901855,6.1702556647360325,0,0.5486934772107226
9,1000,0.9,tsallis-5,5,501.18723362727235,5.4561725846724585e-05,0.07700452208518982,0.0769499603593431,1,0.4059343822201527
9,1000,0.9,tsallis-10,10,501.18723362727235,3.077359724557027e-05,-0.0189653392881155,0.01899611288536107,1,0.42113072458409007
9,1000,1.0,kl,,1000.0,nan,nan,nan,0,nan
9,1000,1.0,chi2,,1000.0,0.06050436943769455,6.337255001068115,6.276750631630421,0,0.5588101715363636
9,1000,1.0,tsallis-5,5,1000.0,6.3948973547667265e-06,-0.25153088569641113,0.2515372805937659,1,0.7549863801286004
9,1000,1.0,tsallis-10,10,1000.0,5.715085990232183e-06,-0.1819279044866562,0.18193361957264642,1,0.7187978477280226
