seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
9,500,0.1,kl,,1.8616455666360694,0.0027471701614558697,5.015024185180664,5.012277015019208,0,0.6409889592450273
9,500,0.1,chi2,,1.8616455666360694,0.0027702399529516697,3.0988614559173584,3.0960912159644067,0,0.3868501864786476
9,500,0.1,tsallis-5,5,1.8616455666360694,-1.890252679004334e-05,-0.002329649869352579,0.0023107473425625358,1,0.0317048290353114
9,500,0.1,tsallis-10,10,1.8616455666360694,-3.5663866583490744e-05,0.006486319005489349,0.00652198287207284,1,0.029558873059332018
9,500,0.2,kl,,3.465724215775732,0.005087041296064854,5.105480670928955,5.10039362963289,0,0.6448677623989629
9,500,0.2,chi2,,3.465724215775732,0.005179660860449076,3.5526397228240967,3.5474600619636476,0,0.44396137318341805
9,500,0.2,tsallis-5,5,3.465724215775732,7.893363363109529e-05,0.008977338671684265,0.00889840503805317,1,0.030547856214915695
9,500,0.2,tsallis-10,10,3.465724215775732,-5.0220987759530544e-05,-0.009716042317450047,0.009665821329690516,1,0.02946801051145443
9,500,0.30000000000000004,kl,,6.451950121482161,0.009699602611362934,5.246649742126465,5.236950139515102,0,0.6619096243304292
9,500,0.30000000000000004,chi2,,6.451950121482161,0.009527395479381084,3.939584255218506,3.9300568597391248,0,0.4931827235392653
9,500,0.30000000000000004,tsallis-5,5,6.451950121482161,5.183763278182596e-05,0.00810908991843462,0.008057252285652794,1,0.033814038399269594
9,500,0.30000000000000004,tsallis-10,10,6.451950121482161,5.3672206377086695e-06,-0.008675546385347843,0.008680913605985552,1,0.03259650580001727
9,500,0.4,kl,,12.011244339814313,0.017406603321433067,nan,nan,0,nan
9,500,0.4,chi2,,12.011244339814313,0.015731768682599068,4.311889171600342,4.296157402917743,0,0.5407023769703864
9,500,0.4,tsallis-5,5,12.011244339814313,7.060445204842836e-05,0.013700706884264946,0.013630102432216518,1,0.031124910798002444
9,500,0.4,tsallis-10,10,12.011244339814313,-2.130829125235323e-05,-0.0076518855057656765,0.007630577214513323,1,0.03131336563193014
9,500,0.5,kl,,22.360679774997898,0.03125982731580734,nan,nan,0,nan
9,500,0.5,chi2,,22.360679774997898,0.023225832730531693,4.613218784332275,4.589992951601744,0,0.5799145938579521
9,500,0.5,tsallis-5,5,22.360679774997898,2.2216627257876098e-05,-0.0024335114285349846,0.0024557280557928607,1,0.03546871629217621
9,500,0.5,tsallis-10,10,22.360679774997898,5.323639197740704e-05,-0.0032455206383019686,0.0032987570302793756,1,0.035013887816287934
9,500,0.6,kl,,41.62766037009365,0.04699694365262985,nan,nan,0,nan
9,500,0.6,chi2,,41.62766037009365,0.03121199645102024,4.919155597686768,4.887943601235747,0,0.619696397311868
9,500,0.6,tsallis-5,5,41.62766037009365,-1.0947535884042736e-05,-0.009936053305864334,0.009925105769980291,1,0.036860790368137754
9,500,0.6,tsallis-10,10,41.62766037009365,-8.27645999379456e-06,-0.001264409627765417,0.0012561331677716225,1,0.03840406440618331
9,500,0.7000000000000001,kl,,77.49594937741689,0.059218600392341614,nan,nan,0,nan
9,500,0.7000000000000001,chi2,,77.49594937741689,0.03766072914004326,5.08784294128418,5.050182212144136,0,0.6448050159590548
9,500,0.7000000000000001,tsallis-5,5,77.49594937741689,-6.155515438877046e-05,-0.006993149872869253,0.006931594718480483,1,0.05307662439254831
9,500,0.7000000000000001,tsallis-10,10,77.49594937741689,-3.535730502335355e-05,-0.007659174967557192,0.007623817662533838,1,0.055872171652978364
9,500,0.8,kl,,144.2699905907214,0.06466410309076309,nan,nan,0,nan
9,500,0.8,chi2,,144.2699905907214,0.04506264626979828,5.082980632781982,5.037917986512184,0,0.6405684733826641
9,500,0.8,tsallis-5,5,144.2699905907214,2.562463123467751e-06,-0.0011657701106742024,0.0011683325737976702,1,0.08208376469287389
9,500,0.8,tsallis-10,10,144.2699905907214,2.5169407308567315e-05,-0.0037522567436099052,0.0037774261509184726,1,0.08682927026218173
9,500,0.9,kl,,268.5795883818439,nan,nan,nan,0,nan
9,500,0.9,chi2,,268.5795883818439,0.051069535315036774,5.245538234710693,5.194468699395657,0,0.6589570075359709
9,500,0.9,tsallis-5,5,268.5795883818439,1.002531007543439e-05,-0.04873485490679741,0.04874488021687284,1,0.14760812677893628
9,500,0.9,tsallis-10,10,268.5795883818439,-6.854373350506648e-05,-0.02601901814341545,0.025950474409910385,1,0.1541886528179243
9,500,1.0,kl,,500.0,nan,nan,nan,0,nan
9,500,1.0,chi2,,500.0,0.05633917078375816,5.244088649749756,5.187749478965998,0,0.6631383050841821
9,500,1.0,tsallis-5,5,500.0,1.5437506590387784e-05,-0.01927415281534195,0.019289590321932337,1,0.295406921356255
9,500,1.0,tsallis-10,10,500.0,1.5713512766524218e-05,-0.033018890768289566,0.03303460428105609,1,0.3242349786130441
