seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
8,500,0.1,kl,,1.8616455666360694,0.002726881066337228,5.999575614929199,5.996848733862862,0,0.7255634272332615
8,500,0.1,chi2,,1.8616455666360694,0.0027300689835101366,3.753787040710449,3.751056971726939,0,0.444485965921723
8,500,0.1,tsallis-5,5,1.8616455666360694,-3.0391240215976723e-05,0.006714168004691601,0.0067445592449075775,1,0.03491084030623404
8,500,0.1,tsallis-10,10,1.8616455666360694,-2.1370202375692315e-05,0.02332465350627899,0.023346023708654684,1,0.06412014742480325
8,500,0.2,kl,,3.465724215775732,0.00507730059325695,6.061795234680176,6.056717934086919,0,0.727165539022978
8,500,0.2,chi2,,3.465724215775732,0.005081107374280691,4.238916397094727,4.233835289720446,0,0.5014405980415405
8,500,0.2,tsallis-5,5,3.465724215775732,-4.924350832880009e-06,-0.007162479683756828,0.007157555332923948,1,0.038305491104114776
8,500,0.2,tsallis-10,10,3.465724215775732,-4.7796980652492493e-05,-0.0073838867247104645,0.007336089744057972,1,0.03525440769437028
8,500,0.30000000000000004,kl,,6.451950121482161,0.009456049650907516,nan,nan,0,nan
8,500,0.30000000000000004,chi2,,6.451950121482161,0.009385984390974045,4.738044261932373,4.728658277541399,0,0.5629551389881644
8,500,0.30000000000000004,tsallis-5,5,6.451950121482161,-4.0279501263285056e-05,-0.005206714384257793,0.005166434882994508,1,0.03591308860163675
8,500,0.30000000000000004,tsallis-10,10,6.451950121482161,2.4629887775518e-05,-0.006782423239201307,0.006807053126976825,1,0.03553383216902892
8,500,0.4,kl,,12.011244339814313,0.017701145261526108,nan,nan,0,nan
8,500,0.4,chi2,,12.011244339814313,0.016334280371665955,5.206125259399414,5.189790979027748,0,0.6195906110629685
8,500,0.4,tsallis-5,5,12.011244339814313,2.5042771085281856e-05,0.013207060284912586,0.013182017513827304,1,0.034458919868566695
8,500,0.4,tsallis-10,10,12.011244339814313,-4.7815716243349016e-05,-0.0015796259976923466,0.0015318102814489976,1,0.03940508040190646
8,500,0.5,kl,,22.360679774997898,0.0313386544585228,nan,nan,0,nan
8,500,0.5,chi2,,22.360679774997898,0.02459580823779106,5.4931254386901855,5.4685296304523945,0,0.6564288994433548
8,500,0.5,tsallis-5,5,22.360679774997898,3.959895911975764e-05,-0.0023502393160015345,0.002389838275121292,1,0.041338556062320085
8,500,0.5,tsallis-10,10,22.360679774997898,-8.464709026156925e-06,0.015312472358345985,0.015320937067372142,1,0.044880283781019714
8,500,0.6,kl,,41.62766037009365,0.0493435300886631,nan,nan,0,nan
8,500,0.6,chi2,,41.62766037009365,0.03130823373794556,5.778051853179932,5.746743619441986,0,0.6952145029344051
8,500,0.6,tsallis-5,5,41.62766037009365,3.626314355642535e-05,0.009988789446651936,0.00995252630309551,1,0.04348490173207242
8,500,0.6,tsallis-10,10,41.62766037009365,-9.432643537365948e-07,-0.008808327838778496,0.00880738457442476,1,0.05431621563913314
8,500,0.7000000000000001,kl,,77.49594937741689,0.05997616425156593,nan,nan,0,nan
8,500,0.7000000000000001,chi2,,77.49594937741689,0.0387185737490654,5.981205940246582,5.942487366497517,0,0.7180848262057575
8,500,0.7000000000000001,tsallis-5,5,77.49594937741689,-1.1330392226227559e-05,-0.009185194969177246,0.009173864576951019,1,0.07340322691375104
8,500,0.7000000000000001,tsallis-10,10,77.49594937741689,2.8370785003062338e-05,-0.005898163188248873,0.005926533973251935,1,0.08477476591968308
8,500,0.8,kl,,144.2699905907214,0.06487033516168594,nan,nan,0,nan
8,500,0.8,chi2,,144.2699905907214,0.045443370938301086,6.15476131439209,6.109317943453789,0,0.7417385115600038
8,500,0.8,tsallis-5,5,144.2699905907214,1.2752687325701118e-05,-0.017919279634952545,0.017932032322278246,1,0.10905470407861456
8,500,0.8,tsallis-10,10,144.2699905907214,5.879640525563445e-07,0.034483447670936584,0.03448285970688403,1,0.12810341430449745
8,500,0.9,kl,,268.5795883818439,0.0663263276219368,nan,nan,0,nan
8,500,0.9,chi2,,268.5795883818439,0.0518394336104393,6.139713764190674,6.0878743305802345,0,0.7329478521222803
8,500,0.9,tsallis-5,5,268.5795883818439,-5.3284704335965216e-05,0.00011213112156838179,0.000165415825904347,1,0.20459064786536482
8,500,0.9,tsallis-10,10,268.5795883818439,-1.355351196252741e-05,-0.046928439289331436,0.04691488577736891,1,0.22605467903207066
8,500,1.0,kl,,500.0,nan,nan,nan,0,nan
8,500,1.0,chi2,,500.0,0.0566941499710083,6.126101970672607,6.069407820701599,0,0.7332067683546931
8,500,1.0,tsallis-5,5,500.0,1.8897100744652562e-05,-0.10021381080150604,0.1002327079022507,1,0.4279761057592235
8,500,1.0,tsallis-10,10,500.0,-7.492553777410649e-06,-0.1525002419948578,0.15249274944108038,1,0.4060503213149097
