seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
5,1000,0.1,kl,,1.9952623149688797,0.002996820257976651,5.988284587860107,5.985287767602131,0,0.5271177444287939
5,1000,0.1,chi2,,1.9952623149688797,0.0029746221844106913,3.832948684692383,3.829974062507972,0,0.33420569388049565
5,1000,0.1,tsallis-5,5,1.9952623149688797,-8.624838301329874e-06,-0.012622944079339504,0.012614319241038174,1,0.028076929272647475
5,1000,0.1,tsallis-10,10,1.9952623149688797,1.5835275917197578e-05,0.0058416808024048805,0.005825845526487683,1,0.0262907138404447
5,1000,0.2,kl,,3.9810717055349727,0.0058212848380208015,6.132115840911865,6.126294556073844,0,0.5401172906948263
5,1000,0.2,chi2,,3.9810717055349727,0.005872745998203754,4.404417991638184,4.39854524563998,0,0.383442454721388
5,1000,0.2,tsallis-5,5,3.9810717055349727,9.111627718993986e-07,-0.0012820637784898281,0.0012829749412617275,1,0.025440957224834106
5,1000,0.2,tsallis-10,10,3.9810717055349727,5.796583718620241e-05,0.005494680721312761,0.005436714884126559,1,0.02659372488215658
5,1000,0.30000000000000004,kl,,7.943282347242818,0.01181701011955738,nan,nan,0,nan
5,1000,0.30000000000000004,chi2,,7.943282347242818,0.011707507073879242,4.867225646972656,4.855518139898777,0,0.42420634434554116
5,1000,0.30000000000000004,tsallis-5,5,7.943282347242818,1.308516220888123e-05,-0.003431468503549695,0.0034445536657585762,1,0.02737646292997169
5,1000,0.30000000000000004,tsallis-10,10,7.943282347242818,6.125999061623588e-05,0.0015853522345423698,0.001524092243926134,1,0.027311266196904025
5,1000,0.4,kl,,15.848931924611136,0.023128602653741837,nan,nan,0,nan
5,1000,0.4,chi2,,15.848931924611136,0.019335685297846794,5.3145365715026855,5.295200886204839,0,0.46523625372862687
5,1000,0.4,tsallis-5,5,15.848931924611136,-7.609892054460943e-05,-0.010613573715090752,0.010537474794546142,1,0.027879984102583258
5,1000,0.4,tsallis-10,10,15.848931924611136,4.311290831537917e-05,-0.005983707495033741,0.00602682040334912,1,0.030074859303139773
5,1000,0.5,kl,,31.622776601683793,0.03971550241112709,nan,nan,0,nan
5,1000,0.5,chi2,,31.622776601683793,0.027973631396889687,5.671859264373779,5.64388563297689,0,0.4983805342398313
5,1000,0.5,tsallis-5,5,31.622776601683793,5.715430961572565e-05,-0.012480923905968666,0.012538078215584392,1,0.038588202872762524
5,1000,0.5,tsallis-10,10,31.622776601683793,-4.013720172224566e-06,-0.0023124797735363245,0.0023084660533641,1,0.041616365253682015
5,1000,0.6,kl,,63.095734448019314,0.056158892810344696,nan,nan,0,nan
5,1000,0.6,chi2,,63.095734448019314,0.036192797124385834,5.9160966873168945,5.879903890192509,0,0.5220156513191612
5,1000,0.6,tsallis-5,5,63.095734448019314,-5.169913038116647e-06,-0.011047209613025188,0.011042039699987072,1,0.05589733119080423
5,1000,0.6,tsallis-10,10,63.095734448019314,6.7367550400376786e-06,0.0120293740183115,0.012022637263271463,1,0.060739102470140055
5,1000,0.7000000000000001,kl,,125.89254117941678,0.06467242538928986,nan,nan,0,nan
5,1000,0.7000000000000001,chi2,,125.89254117941678,0.04411526396870613,6.088551998138428,6.044436734169722,0,0.5360126900380587
5,1000,0.7000000000000001,tsallis-5,5,125.89254117941678,-3.4601402148837224e-05,-0.021606557071208954,0.021571955669060117,1,0.11493132484529438
5,1000,0.7000000000000001,tsallis-10,10,125.89254117941678,2.7208441679249518e-05,-5.467033770401031e-05,8.187877938325983e-05,1,0.12468310963179259
5,1000,0.8,kl,,251.1886431509581,nan,nan,nan,0,nan
5,1000,0.8,chi2,,251.1886431509581,0.05072048306465149,6.12315559387207,6.072435110807419,0,0.5370274346701283
5,1000,0.8,tsallis-5,5,251.1886431509581,1.8410833945381455e-05,-0.035629041492938995,0.03564745232688438,1,0.2286263328584307
5,1000,0.8,tsallis-10,10,251.1886431509581,2.797978959279135e-05,-0.06768471002578735,0.06771268981538014,1,0.264026325190646
5,1000,0.9,kl,,501.18723362727235,nan,nan,nan,0,nan
5,1000,0.9,chi2,,501.18723362727235,0.05649491399526596,6.179007053375244,6.122512139379978,0,0.542458631077674
5,1000,0.9,tsallis-5,5,501.18723362727235,-4.9725240387488157e-05,0.09391006082296371,0.0939597860633512,1,0.49013707555339175
5,1000,0.9,tsallis-10,10,501.18723362727235,-3.0047132895560935e-05,0.04388640448451042,0.04391645161740598,1,0.416532914241168
5,1000,1.0,kl,,1000.0,nan,nan,nan,0,nan
5,1000,1.0,chi2,,1000.0,0.06152966246008873,6.104552268981934,6.043022606521845,0,0.5352548386605864
5,1000,1.0,tsallis-5,5,1000.0,3.403217124287039e-05,-0.09046172350645065,0.09049575567769352,1,0.8820319669228708
5,1000,1.0,tsallis-10,10,1000.0,-3.298199226264842e-05,-0.16279593110084534,0.1627629491085827,1,0.9128767158894382
