seed,n,r_param,divergence,q,lam,r_star,r_hat_d,error,covered,ci_length
10,500,0.1,kl,,1.8616455666360694,0.002792899962514639,6.342918872833252,6.340125972870737,0,0.7395343046762393
10,500,0.1,chi2,,1.8616455666360694,0.00280829519033432,3.9722840785980225,3.969475783407688,0,0.4567998279270576
10,500,0.1,tsallis-5,5,1.8616455666360694,3.556406227289699e-05,-0.013324995525181293,0.01336055958745419,1,0.035524954559034025
10,500,0.1,tsallis-10,10,1.8616455666360694,-4.951803566655144e-05,-0.013341336511075497,0.013291818475408945,1,0.04240111940419972
10,500,0.2,kl,,3.465724215775732,0.0051803020760416985,6.431974411010742,6.4267941089347005,0,0.7451214962604776
10,500,0.2,chi2,,3.465724215775732,0.005267472937703133,4.571619033813477,4.566351560875773,0,0.5244026583839151
10,500,0.2,tsallis-5,5,3.465724215775732,9.660733667260502e-06,-0.009534413926303387,0.009544074659970647,1,0.03613822264514524
10,500,0.2,tsallis-10,10,3.465724215775732,-3.273247057222761e-05,-0.004549405537545681,0.004516673066973453,1,0.04157219850720684
10,500,0.30000000000000004,kl,,6.451950121482161,0.009733811020851135,nan,nan,0,nan
10,500,0.30000000000000004,chi2,,6.451950121482161,0.009523666463792324,5.018033504486084,5.008509838022292,0,0.5877874707465289
10,500,0.30000000000000004,tsallis-5,5,6.451950121482161,2.0219775251462124e-05,0.005207370966672897,0.005187151191421435,1,0.038390933139357764
10,500,0.30000000000000004,tsallis-10,10,6.451950121482161,-5.483748100232333e-05,-0.01574745401740074,0.015692616536398418,1,0.038116938476624736
10,500,0.4,kl,,12.011244339814313,0.017726238816976547,nan,nan,0,nan
10,500,0.4,chi2,,12.011244339814313,0.01607626862823963,5.414744853973389,5.398668585345149,0,0.6242817471046758
10,500,0.4,tsallis-5,5,12.011244339814313,3.342250784044154e-05,0.005054162349551916,0.005020739841711475,1,0.03866255082300683
10,500,0.4,tsallis-10,10,12.011244339814313,8.027236617635936e-07,0.008665901608765125,0.008665098885103362,1,0.03919752790285464
10,500,0.5,kl,,22.360679774997898,0.031364478170871735,nan,nan,0,nan
10,500,0.5,chi2,,22.360679774997898,0.023335900157690048,5.796334743499756,5.772998843342066,0,0.6709614434115583
10,500,0.5,tsallis-5,5,22.360679774997898,9.826759196585044e-05,-0.004135773051530123,0.004234040643495973,1,0.04090676680457712
10,500,0.5,tsallis-10,10,22.360679774997898,-8.835886546876281e-06,-0.003179056802764535,0.0031702209162176587,1,0.040921422733168726
10,500,0.6,kl,,41.62766037009365,0.04795824736356735,nan,nan,0,nan
10,500,0.6,chi2,,41.62766037009365,0.030812693759799004,6.112683296203613,6.081870602443814,0,0.7095822660963269
10,500,0.6,tsallis-5,5,41.62766037009365,-4.878509935224429e-05,0.008032381534576416,0.00808116663392866,1,0.04690068807239531
10,500,0.6,tsallis-10,10,41.62766037009365,2.2096415705163963e-05,-0.005932483356446028,0.005954579772151192,1,0.046978942583427934
10,500,0.7000000000000001,kl,,77.49594937741689,0.059535350650548935,nan,nan,0,nan
10,500,0.7000000000000001,chi2,,77.49594937741689,0.03860770910978317,6.317321300506592,6.278713591396809,0,0.7348462208920823
10,500,0.7000000000000001,tsallis-5,5,77.49594937741689,-2.340152786928229e-05,0.009466449730098248,0.00948985125796753,1,0.07679881510863597
10,500,0.7000000000000001,tsallis-10,10,77.49594937741689,1.2322810107434634e-05,0.0047574276104569435,0.004745104800349509,1,0.06829553301070285
10,500,0.8,kl,,144.2699905907214,0.06398884952068329,nan,nan,0,nan
10,500,0.8,chi2,,144.2699905907214,0.044887181371450424,6.473729610443115,6.428842429071665,0,0.7501074329141698
10,500,0.8,tsallis-5,5,144.2699905907214,-1.587419683346525e-05,-0.027947179973125458,0.027931305776291993,1,0.12161925862983881
10,500,0.8,tsallis-10,10,144.2699905907214,2.925483750004787e-05,-0.013339092954993248,0.013368347792493296,1,0.17056550744111132
10,500,0.9,kl,,268.5795883818439,nan,nan,nan,0,nan
10,500,0.9,chi2,,268.5795883818439,0.050346024334430695,6.52188777923584,6.471541754901409,0,0.7545076470474803
10,500,0.9,tsallis-5,5,268.5795883818439,-6.0548500186996534e-05,-0.003451721277087927,0.0033911727769009303,1,0.21882451201665265
10,500,0.9,tsallis-10,10,268.5795883818439,2.2756126782041974e-05,0.026791246607899666,0.026768490481117624,1,0.21575706957642107
10,500,1.0,kl,,500.0,nan,nan,nan,0,nan
10,500,1.0,chi2,,500.0,0.05702643841505051,6.471180438995361,6.414154000580311,0,0.7503633185915308
10,500,1.0,tsallis-5,5,500.0,-1.304092256759759e-05,0.030696850270032883,0.03070989119260048,1,0.4038235336300703
10,500,1.0,tsallis-10,10,500.0,-4.2635633690224495e-06,-0.056089967489242554,0.05608570392587353,1,0.3580319268252773
