seed,n,r_star,r_hat_d,error,covered,ci_length
1,500,0.00012782600242644548,-0.05520075559616089,0.055328581598587334,0,0.059627779997789204
5,500,3.713387195602991e-05,0.2539965808391571,0.2539594469672011,0,0.0628686240707973
4,500,0.00011328162509016693,0.3546311855316162,0.35451790390652604,0,0.06977866055936821
6,500,8.962016727309674e-05,-0.19050538539886475,0.19059500556613784,0,0.05855253357165868
2,500,3.3308933780062944e-05,-0.09389745444059372,0.09393076337437378,0,0.05722253428288687
3,500,5.4993602134345565e-06,-0.2969651222229004,0.2969706215831138,0,0.06403138430699062
8,500,4.34642679465469e-05,-0.21546591818332672,0.21550938245127327,0,0.061818094409616886
9,500,-9.349926403956488e-05,-0.22977930307388306,0.2296858038098435,0,0.06423548550361502
7,500,-4.1839026380330324e-05,-0.041927170008420944,0.041885330982040614,0,0.05362086899324628
10,500,-2.2683067072648555e-05,-0.0497380830347538,0.04971539996768115,0,0.054116431941698295
