seed,n,r_star,r_hat_d,error,covered,ci_length
1,1000,0.00012782600242644548,0.04507099464535713,0.044943168642930686,0,0.05028447924972917
5,1000,3.713387195602991e-05,0.4069322347640991,0.4068951008921431,0,0.056581442650606384
4,1000,0.00011328162509016693,0.4194872975349426,0.41937401590985246,0,0.05995367504640037
6,1000,8.962016727309674e-05,-0.18180571496486664,0.18189533513213973,0,0.049240641256606765
2,1000,3.3308933780062944e-05,-0.4447663724422455,0.44479968137602555,0,0.058407082843914604
3,1000,5.4993602134345565e-06,-0.16036972403526306,0.1603752233954765,0,0.05153948942143227
9,1000,-9.349926403956488e-05,-0.301562637090683,0.3014691378266434,0,0.053329579955091466
8,1000,4.34642679465469e-05,-0.2499796599149704,0.25002312418291694,0,0.05283840948422669
7,1000,-4.1839026380330324e-05,0.3748796582221985,0.3749214972485788,0,0.05845462538754698
10,1000,-2.2683067072648555e-05,-0.22102877497673035,0.2210060919096577,0,0.050136571374252314
