seed,n,r_star,r_hat_d,error,covered,ci_length
2,2000,-3.1659608794143423e-05,-0.33447909355163574,0.3344474339428416,0,0.0505802876516559
7,2000,5.57158600713592e-05,0.2881866991519928,0.28813098329192144,0,0.04987922103152753
6,2000,9.002487786347046e-05,-0.10838840901851654,0.10847843389638001,0,0.04431381006604407
3,2000,-6.262207170948386e-05,-0.03163525462150574,0.03157263254979625,0,0.046976493314929674
8,2000,4.34642679465469e-05,-0.38362595438957214,0.3836694186575187,0,0.049569216254146564
4,2000,0.00017568652401678264,0.32071858644485474,0.32054289992083795,0,0.05028603201555215
5,2000,-8.550891652703285e-05,0.6722297668457031,0.6723152757622302,0,0.060182912248828435
9,2000,-9.349926403956488e-05,-0.1267298460006714,0.12663634673663182,0,0.04651853660566328
10,2000,-2.2683067072648555e-05,-0.061335016041994095,0.061312332974921446,0,0.04820844843572374
1,2000,0.00011792464647442102,-0.33425086736679077,0.3343687920132652,0,0.04870453703775901
